Date,White1,White2,White3,White4,White5,Powerball
2011-08-24,9,13,47,49,53,39
2011-08-27,2,12,25,54,58,14
2011-08-31,13,19,35,47,57,29
2011-09-03,15,25,52,53,54,2
2011-09-07,3,5,18,27,54,13
2011-09-10,4,19,22,32,53,24
2011-09-14,16,41,42,50,59,5
2011-09-17,6,20,22,32,43,11
2011-09-21,12,47,48,52,55,13
2011-09-24,3,4,12,27,44,26
2011-09-28,30,41,50,51,53,8
2011-10-01,1,12,23,27,43,31
2011-10-05,7,20,43,46,54,17
2011-10-08,3,27,35,37,45,31
2011-10-12,10,12,23,43,47,18
2011-10-15,5,10,24,38,43,1
2011-10-19,16,26,35,52,58,2
2011-10-22,3,8,23,30,58,13
2011-10-26,1,18,21,39,55,6
2011-10-29,11,16,40,51,56,38
2011-11-02,12,14,34,39,46,36
2011-11-05,2,33,39,40,43,26
2011-11-09,5,35,57,58,59,12
2011-11-12,4,35,36,51,56,8
2011-11-16,13,22,25,39,51,28
2011-11-19,9,16,17,28,30,11
2011-11-23,4,30,35,57,59,25
2011-11-26,20,37,39,45,55,28
2011-11-30,2,6,34,35,47,22
2011-12-03,5,18,33,43,45,8
2011-12-07,3,14,20,39,40,37
2011-12-10,4,19,33,41,59,9
2011-12-14,2,24,46,52,56,19
2011-12-17,13,28,49,51,59,33
2011-12-21,10,13,15,31,54,18
2011-12-24,14,16,30,51,52,19
2011-12-28,16,21,27,41,45,14
2011-12-31,5,23,25,28,40,34
2012-01-04,21,35,46,47,50,2
2012-01-07,3,21,24,38,39,24
2012-01-11,5,19,29,45,47,25
2012-01-14,10,30,36,38,41,1
2012-01-18,6,29,34,44,50,28
2012-01-21,12,24,43,44,45,7
2012-01-25,4,19,28,29,47,5
2012-01-28,5,33,41,54,59,13
2012-02-01,8,13,17,34,59,35
2012-02-04,15,23,43,45,56,7
2012-02-08,17,28,38,39,51,33
2012-02-11,1,10,37,52,57,11
2012-02-15,11,12,32,52,56,11
2012-02-18,23,28,50,56,59,5
2012-02-22,7,16,17,39,51,32
2012-02-25,6,11,42,53,54,7
2012-02-29,1,4,11,23,26,14
2012-03-03,29,30,45,47,49,35
2012-03-07,12,35,45,46,47,12
2012-03-10,5,14,17,20,41,5
2012-03-14,1,8,41,46,59,24
2012-03-17,11,14,49,55,58,30
2012-03-21,32,43,53,55,56,6
2012-03-24,1,15,35,37,47,8
2012-03-28,11,16,29,50,58,33
2012-03-31,5,14,36,54,58,27
2012-04-04,1,24,33,45,49,6
2012-04-07,5,13,17,20,30,18
2012-04-11,16,23,42,44,47,2
2012-04-14,14,15,16,19,24,2
2012-04-18,20,22,39,46,49,29
2012-04-21,6,8,20,42,51,16
2012-04-25,4,25,29,34,43,29
2012-04-28,31,39,40,57,58,33
2012-05-02,7,8,33,38,50,29
2012-05-05,9,12,20,44,59,23
2012-05-09,1,7,11,55,56,1
2012-05-12,10,24,35,53,58,22
2012-05-16,3,7,21,28,43,2
2012-05-19,8,13,35,46,51,30
2012-05-23,4,7,26,53,59,32
2012-05-26,13,14,41,49,59,14
2012-05-30,9,10,24,52,56,14
2012-06-02,9,10,17,29,45,33
2012-06-06,19,30,33,48,59,27
2012-06-09,18,22,45,56,57,27
2012-06-13,7,10,14,33,57,18
2012-06-16,8,14,15,16,27,26
2012-06-20,11,17,29,56,57,14
2012-06-23,1,3,41,44,53,30
2012-06-27,6,34,40,46,58,6
2012-06-30,7,15,20,41,44,22
2012-07-04,14,19,35,39,56,33
2012-07-07,3,5,29,39,59,29
2012-07-11,5,22,36,49,55,23
2012-07-14,4,16,32,37,46,13
2012-07-18,2,5,20,23,57,3
2012-07-21,9,31,38,54,56,20
2012-07-25,3,14,35,38,46,16
2012-07-28,5,6,13,36,50,13
2012-08-01,3,16,48,56,58,4
2012-08-04,19,30,48,53,55,18
2012-08-08,3,7,11,15,28,12
2012-08-11,4,13,39,46,51,1
2012-08-15,6,27,46,51,56,21
2012-08-18,14,26,41,55,59,1
2012-08-22,22,29,31,47,55,19
2012-08-25,1,6,7,20,49,23
2012-08-29,25,28,49,54,56,28
2012-09-01,8,11,21,44,49,22
2012-09-05,4,19,26,42,51,29
2012-09-08,6,20,34,44,48,29
2012-09-12,24,33,36,48,56,6
2012-09-15,3,20,26,43,48,1
2012-09-19,1,5,8,39,50,23
2012-09-22,2,16,18,40,42,33
2012-09-26,13,26,39,41,42,10
2012-09-29,14,18,28,29,57,8
2012-10-03,17,23,36,55,59,10
2012-10-06,15,26,34,36,59,35
2012-10-10,18,26,29,35,43,28
2012-10-13,2,5,25,26,49,18
2012-10-17,1,7,10,23,42,35
2012-10-20,4,21,28,31,44,10
2012-10-24,3,18,21,23,50,4
2012-10-27,22,32,34,36,56,33
2012-10-31,1,27,31,45,48,5
2012-11-03,4,7,9,30,54,25
2012-11-07,32,34,45,52,58,20
2012-11-10,32,42,50,54,55,32
2012-11-14,8,10,30,44,58,13
2012-11-17,3,15,27,58,59,20
2012-11-21,8,18,24,30,39,26
2012-11-24,22,32,37,44,50,34
2012-11-28,5,16,22,23,29,6
2012-12-01,3,10,19,36,46,3
2012-12-05,13,17,19,27,38,12
2012-12-08,7,23,26,40,53,21
2012-12-12,8,10,25,36,44,28
2012-12-15,15,23,40,44,55,14
2012-12-19,5,8,20,23,30,3
2012-12-22,1,18,35,39,44,11
2012-12-26,11,13,23,43,54,4
2012-12-29,36,46,50,52,55,14
2013-01-02,18,20,28,35,53,20
2013-01-05,26,30,49,51,54,25
2013-01-09,11,13,20,27,59,26
2013-01-12,10,14,21,23,47,7
2013-01-16,9,21,28,32,51,35
2013-01-19,8,28,29,34,38,35
2013-01-23,11,12,24,43,45,9
2013-01-26,3,22,26,41,49,18
2013-01-30,14,16,32,47,52,16
2013-02-02,11,16,33,40,41,34
2013-02-06,5,27,36,38,41,12
2013-02-09,5,6,16,36,58,3
2013-02-13,12,23,25,27,43,29
2013-02-16,15,16,46,50,58,29
2013-02-20,3,17,19,25,32,17
2013-02-23,2,5,31,39,41,29
2013-02-27,3,14,20,34,48,21
2013-03-02,3,8,13,41,56,16
2013-03-06,6,10,23,41,45,1
2013-03-09,10,37,40,46,52,12
2013-03-13,5,9,28,32,38,29
2013-03-16,3,7,21,44,53,16
2013-03-20,13,14,17,43,54,15
